assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,463748,None,,0,0,-1,1,0.0,552,34,None,,0,1,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,47,22,0,0,0,0.0,572,53,655,False,0.0,568,53,0,,None,39,753,74,0,0,None,0,,463748.jpg,0.0,580,53,0,0,0,Hein,0.0,640,67,False,None,0,0,a,1,3,0.0,513,24,0,2601,0,2093,0,0.0,0.0,Hein,0
0,0,0,None,None,0,0,519324,None,,0,0,0,0,0.0,728,309,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Amario,0.0,419,121,0,0,0,0.0,734,308,668,False,0.0,732,307,0,,None,45,450,261,0,0,None,0,,519324.jpg,0.0,738,312,0,0,0,Cozier-Duberry,0.0,711,292,False,None,0,0,a,1,3,0.0,717,303,0,502,0,238,0,0.0,0.0,Cozier-Duberry,0
0,0,0,0,0,0,0,461025,None,,0,0,0,0,0.0,699,78,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Nathan,0.0,370,14,0,0,0,0.0,704,79,685,False,0.0,700,78,0,Season-long loan to Accrington Stanley,2023-01-31T23:21:06.874787Z,45,401,75,0,0,None,0,,461025.jpg,0.0,710,79,0,0,0,Butler-Oyedeji,0.0,712,92,False,None,0,0,u,1,3,0.0,680,77,0,735,0,699,0,0.0,0.0,Butler-Oyedeji,0
0,1,111,None,None,2,0.42,440854,None,,0,0,0,0,17.9,426,151,None,,1,2,3.3,0.5,13,0.01,0.0,0.11,0.02,0.10,6.46,1.37,0.02,Jakub,0.0,89,46,6,1.27,1,13.9,433,155,710,False,98.6,386,149,425,,None,40,681,200,0,0,None,0,,440854.jpg,3.7,76,16,0,0,0.0,Kiwior,0.3,343,127,False,None,5,1.06,a,1,3,21.0,416,151,26,32094,0,4336,0,0.0,6.5,Kiwior,0
0,0,0,None,None,0,0,535262,None,,0,0,0,0,0.0,622,237,None,,0,2,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Reuell,0.0,129,75,0,0,0,0.0,639,238,751,False,0.0,634,238,0,,None,40,721,229,0,0,None,0,,535262.jpg,0.0,647,239,0,0,0,Walters,0.0,679,245,False,None,0,0,a,1,3,0.0,588,231,0,569,0,310,0,0.0,0.0,Walters,0
0,0,0,None,None,0,0,504751,None,,0,0,0,0,0.0,721,302,None,,0,3,1.9,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Mauro,0.0,408,110,0,0,0,0.0,727,301,767,False,0.0,725,300,0,,None,45,439,250,0,0,None,0,,504751.jpg,0.0,732,306,0,0,0,Bandeira,0.0,771,332,False,None,0,0,a,1,3,0.0,710,296,0,44,0,4,0,0.0,0.0,Bandeira,0
0,1,98,100,0,3,0.35,84583,5,,0,0,-4,4,152.5,223,136,4,,0,3,0.0,0.0,0,0.65,0.08,2.02,0.24,1.37,8.11,0.94,0.16,Philippe,0.0,727,313,9,1.04,1,48.8,292,133,29,False,119.2,370,153,777,,2023-05-13T17:30:09.051528Z,66,47,24,0,0,2,0,,84583.jpg,1.6,402,174,0,0,0.0,Coutinho Correia,2.9,115,39,False,None,7,0.81,a,2,7,218.0,172,104,32,234097,0,1484303,0,0.0,4.8,Coutinho,3
0,15,678,100,100,11,0.32,98980,None,,0,0,0,0,23.0,415,2,None,,3,1,2.2,0.0,3,0.21,0.01,0.21,0.01,0.00,43.46,1.25,0.0,Emiliano,0.0,564,79,38,1.09,0,85.7,167,6,31,False,835.2,22,6,3139,,2023-04-22T17:30:07.881117Z,50,187,7,1,0,None,1,,98980.jpg,3.8,73,15,0,98,2.81,Martínez Romero,6.6,58,9,False,None,36,1.03,a,2,7,0.0,751,79,135,1063341,0,1032874,0,0.0,27.0,Martínez,7
0,0,67,100,100,0,0.0,101184,None,,0,0,-3,3,29.8,402,143,None,,0,2,0.2,0.0,0,0.19,0.05,0.33,0.09,0.14,5.88,1.53,0.04,Calum,0.0,159,93,4,1.04,0,11.1,445,158,32,False,74.4,412,155,345,,2023-05-18T14:00:09.040494Z,42,592,155,0,0,None,0,,101184.jpg,0.9,535,177,0,0,0.0,Chambers,0.2,387,145,False,None,2,0.52,a,2,7,8.0,444,163,13,11323,0,27653,0,0.0,3.1,Chambers,2
0,4,234,100,100,3,0.18,101188,3,,0,0,-5,5,305.5,121,21,2,,1,2,0.5,0.0,2,1.90,0.11,2.33,0.14,0.43,25.91,1.56,0.03,Lucas,0.0,319,182,25,1.51,1,68.1,227,68,33,False,277.6,253,97,1492,,2023-01-14T08:00:07.869716Z,45,350,65,1,0,None,0,,101188.jpg,1.8,354,128,0,0,0.0,Digne,1.2,173,59,False,None,18,1.09,a,2,7,97.0,284,85,50,352817,0,633382,0,0.0,11.1,Digne,5
